Wed Jun 25 16:12:16 2014    region

         3936147 function calls in 67.881 seconds

Stephen Notes:
Video file local, automatic chunk size
Morphology operations - 46%
Video read - 22%
Writing measurements - 19%

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   67.881   67.881 <string>:1(<module>)
        1    0.014    0.014   67.881   67.881 profilewt.py:21(test)
        1    1.532    1.532   67.867   67.867 __init__.py:342(process)
     1201    0.041    0.000   50.862    0.042 __init__.py:364(processFrame)
     1201    0.489    0.000   31.504    0.026 wormimageprocessor.py:76(applyMorphologicalCleaning)
    30025    0.262    0.000   23.384    0.001 morphology.py:215(_binary_erosion)
    30025   18.158    0.001   18.158    0.001 {scipy.ndimage._nd_image.binary_erosion}
    14412    0.314    0.000   16.739    0.001 morphology.py:734(binary_hit_or_miss)
     1201    0.092    0.000   15.652    0.013 wormimageprocessor.py:177(bwdiagfill)
     1202   14.812    0.012   14.812    0.012 {method 'read' of 'cv2.VideoCapture' objects}
     1201    5.817    0.005   13.228    0.011 __init__.py:615(store)
     1201    0.036    0.000    7.170    0.006 morphology.py:968(binary_fill_holes)
     1201    0.021    0.000    7.120    0.006 morphology.py:378(binary_dilation)
     1201    0.003    0.000    5.403    0.004 filters.py:1003(median_filter)
     1201    0.028    0.000    5.399    0.004 filters.py:929(_rank_filter)
     1201    5.292    0.004    5.292    0.004 {scipy.ndimage._nd_image.rank_filter}
     1201    0.004    0.000    4.310    0.004 __init__.py:402(measureWorm)
     1201    0.011    0.000    4.303    0.004 __init__.py:541(measureWorm)
    15928    0.352    0.000    4.011    0.000 dataset.py:456(__setitem__)
     1201    0.546    0.000    4.006    0.003 __init__.py:569(calculatePosture)
     1201    3.913    0.003    3.913    0.003 {scipy.ndimage._nd_image.binary_erosion2}
     1201    0.040    0.000    3.129    0.003 __init__.py:519(skeletonizeWorm)
     1201    1.508    0.001    2.595    0.002 _clear_border.py:5(clear_border)
    36894    0.191    0.000    2.056    0.000 group.py:145(__getitem__)
    15928    1.819    0.000    1.819    0.000 {method 'write' of 'h5py.h5d.DatasetID' objects}
     1201    0.036    0.000    1.231    0.001 wormimageprocessor.py:200(find1Cpixels)
     1201    0.202    0.000    1.151    0.001 _skeletonize.py:13(skeletonize)
     3603    1.103    0.000    1.103    0.000 {cv2.morphologyEx}
     1201    0.136    0.000    1.096    0.001 wormimageprocessor.py:64(applyBackgroundFilter)
     1201    0.015    0.000    0.986    0.001 measurements.py:46(label)
    36894    0.885    0.000    0.885    0.000 {h5py.h5o.open}
    34508    0.328    0.000    0.871    0.000 dataset.py:238(__init__)
     1201    0.828    0.001    0.852    0.001 {scipy.ndimage._ni_label._label}
    87802    0.716    0.000    0.716    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1074    0.345    0.000    0.674    0.001 mcp.py:4(route_through_array)
     1202    0.005    0.000    0.650    0.001 files.py:241(__exit__)
     1202    0.002    0.000    0.645    0.001 files.py:226(close)
     1202    0.643    0.001    0.643    0.001 {method 'close' of 'h5py.h5f.FileID' objects}
     1201    0.638    0.001    0.638    0.001 __init__.py:21(logPrint)
    15928    0.071    0.000    0.622    0.000 selections.py:26(select)
   260775    0.535    0.000    0.535    0.000 {numpy.core.multiarray.array}
    46033    0.051    0.000    0.520    0.000 fromnumeric.py:1716(product)
   187519    0.100    0.000    0.518    0.000 numeric.py:392(asarray)
    59528    0.472    0.000    0.479    0.000 dataset.py:156(shape)
    31856    0.161    0.000    0.437    0.000 selections.py:269(broadcast)
     1201    0.103    0.000    0.411    0.000 wormimageprocessor.py:108(identifyPossibleWorms)
     1202    0.009    0.000    0.390    0.000 files.py:189(__init__)
     8750    0.008    0.000    0.358    0.000 filters.py:534(correlate)
    15928    0.086    0.000    0.355    0.000 selections.py:247(__getitem__)
     8750    0.038    0.000    0.350    0.000 fromnumeric.py:51(take)
     8750    0.069    0.000    0.349    0.000 filters.py:507(_correlate_or_convolve)
