Wed Jun 25 16:22:40 2014    region

         3936027 function calls in 61.922 seconds

Stephen Notes:
Video file local, image chunk size (1,19,19)
Morphology operations - 51%
Video read - 24%
Writing measurements - 12%

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   61.922   61.922 <string>:1(<module>)
        1    0.013    0.013   61.922   61.922 profilewt.py:21(test)
        1    1.519    1.519   61.909   61.909 __init__.py:342(process)
     1201    0.039    0.000   44.939    0.037 __init__.py:364(processFrame)
     1201    0.487    0.000   31.508    0.026 wormimageprocessor.py:76(applyMorphologicalCleaning)
    30025    0.262    0.000   23.380    0.001 morphology.py:215(_binary_erosion)
    30025   18.174    0.001   18.174    0.001 {scipy.ndimage._nd_image.binary_erosion}
    14412    0.308    0.000   16.738    0.001 morphology.py:734(binary_hit_or_miss)
     1201    0.091    0.000   15.660    0.013 wormimageprocessor.py:177(bwdiagfill)
     1202   14.828    0.012   14.828    0.012 {method 'read' of 'cv2.VideoCapture' objects}
     1201    1.075    0.001    7.345    0.006 __init__.py:616(store)
     1201    0.036    0.000    7.158    0.006 morphology.py:968(binary_fill_holes)
     1201    0.021    0.000    7.108    0.006 morphology.py:378(binary_dilation)
     1201    0.004    0.000    5.400    0.004 filters.py:1003(median_filter)
     1201    0.028    0.000    5.396    0.004 filters.py:929(_rank_filter)
     1201    5.287    0.004    5.287    0.004 {scipy.ndimage._nd_image.rank_filter}
     1201    0.004    0.000    4.265    0.004 __init__.py:402(measureWorm)
     1201    0.010    0.000    4.258    0.004 __init__.py:541(measureWorm)
     1201    0.539    0.000    3.961    0.003 __init__.py:570(calculatePosture)
     1201    3.900    0.003    3.900    0.003 {scipy.ndimage._nd_image.binary_erosion2}
     1201    0.041    0.000    3.097    0.003 __init__.py:519(skeletonizeWorm)
    15928    0.349    0.000    2.993    0.000 dataset.py:456(__setitem__)
     1201    1.515    0.001    2.607    0.002 _clear_border.py:5(clear_border)
    36894    0.183    0.000    1.977    0.000 group.py:145(__getitem__)
     1201    0.034    0.000    1.219    0.001 wormimageprocessor.py:200(find1Cpixels)
     1201    0.197    0.000    1.141    0.001 _skeletonize.py:13(skeletonize)
     3603    1.104    0.000    1.104    0.000 {cv2.morphologyEx}
     1201    0.136    0.000    1.097    0.001 wormimageprocessor.py:64(applyBackgroundFilter)
     1201    0.015    0.000    0.990    0.001 measurements.py:46(label)
     1201    0.834    0.001    0.857    0.001 {scipy.ndimage._ni_label._label}
    36894    0.853    0.000    0.853    0.000 {h5py.h5o.open}
    34508    0.314    0.000    0.837    0.000 dataset.py:238(__init__)
    15928    0.809    0.000    0.809    0.000 {method 'write' of 'h5py.h5d.DatasetID' objects}
    87762    0.707    0.000    0.707    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1074    0.341    0.000    0.664    0.001 mcp.py:4(route_through_array)
    15928    0.070    0.000    0.624    0.000 selections.py:26(select)
     1202    0.004    0.000    0.619    0.001 files.py:241(__exit__)
     1202    0.002    0.000    0.614    0.001 files.py:226(close)
     1202    0.612    0.001    0.612    0.001 {method 'close' of 'h5py.h5f.FileID' objects}
     1201    0.601    0.001    0.602    0.001 __init__.py:21(logPrint)
   260773    0.525    0.000    0.525    0.000 {numpy.core.multiarray.array}
    45993    0.051    0.000    0.516    0.000 fromnumeric.py:1716(product)
   187519    0.098    0.000    0.511    0.000 numeric.py:392(asarray)
    59528    0.469    0.000    0.476    0.000 dataset.py:156(shape)
    31856    0.160    0.000    0.435    0.000 selections.py:269(broadcast)
     1201    0.102    0.000    0.412    0.000 wormimageprocessor.py:108(identifyPossibleWorms)
     1202    0.009    0.000    0.385    0.000 files.py:189(__init__)
     8750    0.009    0.000    0.358    0.000 filters.py:534(correlate)
    15928    0.086    0.000    0.357    0.000 selections.py:247(__getitem__)
     8750    0.038    0.000    0.353    0.000 fromnumeric.py:51(take)
     8750    0.070    0.000    0.349    0.000 filters.py:507(_correlate_or_convolve)
    34508    0.320    0.000    0.320    0.000 {method 'get_create_plist' of 'h5py.h5d.DatasetID' objects}
     8750    0.025    0.000    0.315    0.000 fromnumeric.py:38(_wrapit)
     1202    0.003    0.000    0.315    0.000 files.py:62(make_fid)
     1201    0.311    0.000    0.311    0.000 {h5py.h5f.open}
     1201    0.271    0.000    0.271    0.000 {cv2.findContours}
     1201    0.227    0.000    0.261    0.000 wormimageprocessor.py:71(applyThreshold)
    39976    0.075    0.000    0.233    0.000 _ni_support.py:70(_get_output)
    15928    0.083    0.000    0.214    0.000 selections.py:491(_handle_simple)
     1201    0.034    0.000    0.214    0.000 __init__.py:560(calculateWidth)
    63712    0.187    0.000    0.194    0.000 dataset.py:169(dtype)
    85360    0.188    0.000    0.188    0.000 {numpy.core.multiarray.zeros}
    15928    0.054    0.000    0.183    0.000 selections.py:241(__init__)
    34508    0.114    0.000    0.179    0.000 filters.py:200(get_filters)
     2402    0.059    0.000    0.177    0.000 morphology.py:122(generate_binary_structure)
     8750    0.175    0.000    0.175    0.000 {scipy.ndimage._nd_image.correlate}
